student_id,semester,course_code,course_name,credits,course_category,marks,attendance_percent,grade,grade_point,status,attempt_number
STU0001,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,75,74,B+,3.3,completed,1
STU0001,1,CSE 5A,Introduction to Programming I,4,core,79,74,B+,3.3,completed,1
STU0001,1,MATH 18,Linear Algebra,4,math,76,92,B+,3.3,completed,1
STU0001,1,MATH 20A,Calculus for Science and Engineering,4,math,83,89,A-,3.7,completed,1
STU0001,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,78,73,B+,3.3,completed,1
STU0001,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,83,81,A-,3.7,completed,1
STU0001,2,CSE 20,Discrete Mathematics,4,math,71,79,B,3.0,completed,1
STU0001,2,CSE 21,Mathematics for Algorithms and Systems,4,core,73,76,B,3.0,completed,1
STU0001,2,MATH 20B,Calculus for Science and Engineering,4,math,86,80,A,4.0,completed,1
STU0001,3,CSE 100,Advanced Data Structures,4,core,71,74,B,3.0,current,1
STU0001,3,CSE 30,Computer Organization and Systems Programming,4,core,94,78,A+,4.0,current,1
STU0001,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,79,86,B+,3.3,current,1
STU0001,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,80,85,A-,3.7,current,1
STU0002,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,87,79,A,4.0,completed,1
STU0002,1,CSE 5A,Introduction to Programming I,4,core,84,91,A-,3.7,completed,1
STU0002,1,MATH 18,Linear Algebra,4,math,84,93,A-,3.7,completed,1
STU0002,1,MATH 20A,Calculus for Science and Engineering,4,math,84,86,A-,3.7,completed,1
STU0002,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,83,88,A-,3.7,completed,1
STU0002,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,88,72,A,4.0,completed,1
STU0002,2,CSE 20,Discrete Mathematics,4,math,96,78,A+,4.0,completed,1
STU0002,2,CSE 21,Mathematics for Algorithms and Systems,4,core,79,81,B+,3.3,completed,1
STU0002,2,MATH 20B,Calculus for Science and Engineering,4,math,76,83,B+,3.3,completed,1
STU0002,3,CSE 100,Advanced Data Structures,4,core,89,82,A,4.0,completed,1
STU0002,3,CSE 30,Computer Organization and Systems Programming,4,core,87,92,A,4.0,completed,1
STU0002,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,79,87,B+,3.3,completed,1
STU0002,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,91,70,A+,4.0,completed,1
STU0002,4,CSE 101,Design and Analysis of Algorithms,4,core,80,74,A-,3.7,completed,1
STU0002,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,78,93,B+,3.3,completed,1
STU0002,4,CSE 110,Software Engineering,4,core,72,77,B,3.0,completed,1
STU0002,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,87,87,A,4.0,completed,1
STU0002,5,CSE 120,Principles of Computer Operating Systems,4,systems,78,82,B+,3.3,completed,1
STU0002,5,CSE 130,Programming Languages: Principles and Paradigms,4,systems,84,91,A-,3.7,completed,1
STU0002,5,CSE 132A,Database System Principles,4,database,78,85,B+,3.3,completed,1
STU0002,5,DSC 80,The Practice and Application of Data Science,4,data,71,90,B,3.0,completed,1
STU0002,5,MATH 183,Statistical Methods,4,math,79,82,B+,3.3,completed,1
STU0002,6,CSE 132B,Database Systems Applications,4,database,74,83,B,3.0,current,1
STU0002,6,CSE 150A,Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making,4,ai,87,89,A,4.0,current,1
STU0002,6,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,4,ai,73,82,B,3.0,current,1
