prerequisite_course,target_course,relation_context
ANTH 3,ANAR 166,AND
SIO 50,ANAR 166,AND
BILD 1,ANBI 131,AND
ANTH 101,ANSC 150,AND
ANTH 103,ANSC 185,AND
ANTH 1,ANSC 187,OR/complex
ANTH 103,ANSC 187,OR/complex
ANTH 21,ANSC 187,OR/complex
ANTH 23,ANSC 187,OR/complex
ANTH 196A,ANTH 196B,AND
BENG 1,BENG 100,OR/complex
MATH 18,BENG 100,OR/complex
MATH 20C,BENG 100,OR/complex
MATH 20D,BENG 100,OR/complex
MATH 31AH,BENG 100,OR/complex
MATH 31BH,BENG 100,OR/complex
BENG 120,BENG 102,AND
BENG 112A,BENG 103B,OR/complex
MAE 101A,BENG 103B,OR/complex
MATH 18,BENG 110,OR/complex
MATH 20D,BENG 110,OR/complex
MATH 20E,BENG 110,OR/complex
MATH 31AH,BENG 110,OR/complex
MATH 31CH,BENG 110,OR/complex
BENG 110,BENG 112A,AND
BENG 112A,BENG 112B,AND
BENG 187B,BENG 119A,AND
BENG 187C,BENG 119B,AND
CHEM 6A,BENG 120,AND
BENG 134,BENG 122A,OR/complex
BENG 120,BENG 123,OR/complex
CHEM 40B,BENG 123,OR/complex
MATH 18,BENG 123,OR/complex
MATH 20D,BENG 123,OR/complex
MATH 31AH,BENG 123,OR/complex
BENG 122A,BENG 125,OR/complex
BENG 123,BENG 125,OR/complex
BENG 187B,BENG 126A,AND
BENG 126A,BENG 126B,AND
BENG 187B,BENG 127A,AND
BENG 127A,BENG 127B,AND
BENG 187B,BENG 128A,AND
BENG 128A,BENG 128B,AND
BENG 187B,BENG 129A,AND
BENG 129A,BENG 129B,AND
CHEM 6B,BENG 130,AND
MATH 20A,BENG 130,AND
PHYS 2A,BENG 130,AND
MATH 20D,BENG 133,AND
MATH 18,BENG 134,OR/complex
MATH 20D,BENG 134,OR/complex
MATH 31AH,BENG 134,OR/complex
BENG 133,BENG 135,AND
ECE 45,BENG 135,AND
BENG 187B,BENG 139A,AND
BENG 139A,BENG 139B,AND
BENG 102,BENG 140A,OR/complex
BILD 1,BENG 140A,OR/complex
BENG 140A,BENG 140B,AND
BENG 100,BENG 141,AND
BENG 187B,BENG 147A,AND
BENG 147A,BENG 147B,AND
BENG 187B,BENG 148A,AND
BENG 148A,BENG 148B,AND
BENG 187B,BENG 149A,AND
BENG 149A,BENG 149B,AND
BENG 102,BENG 152,AND
BENG 100,BENG 160,AND
BICD 100,BENG 160,AND
MAE 170,BENG 160,AND
BENG 123,BENG 161A,AND
BENG 160,BENG 161A,AND
BENG 161A,BENG 161B,AND
BENG 160,BENG 162,AND
MAE 170,BENG 162,AND
BENG 103B,BENG 166A,OR/complex
BENG 112B,BENG 166A,OR/complex
BENG 100,BENG 168,AND
